Unnamed: 0,Nairoviridae,Poxviridae,Rhabdoviridae,Pneumoviridae,Togaviridae,Nodaviridae,Reoviridae,Hepeviridae,Orthomyxoviridae,Anelloviridae,Hepadnaviridae,Adenoviridae,Polyomaviridae,Matonaviridae,Bornaviridae,Picobirnaviridae,Papillomaviridae,Peribunyaviridae,Astroviridae,Hantaviridae,Arteriviridae,Arenaviridae,Flaviviridae,Filoviridae,Herpesviridae,Paramyxoviridae,Birnaviridae,Parvoviridae,Phenuiviridae,Tobaniviridae,Picornaviridae,Coronaviridae,Retroviridae,Caliciviridae,Kolmioviridae
O00213,0.0,0.2892561983471072,0.3220153340635266,0.0,0.0,0.0,0.1172248803827744,0.0,0.0,0.0,0.0,0.3394919168591223,0.0,0.0,0.0,0.0,0.0341796875,0.0,0.0,0.0,0.0,0.0,0.0,0.59304084720121,0.3905797101449271,0.1917808219178082,0.0,0.0,0.0,0.0,0.0194174757281553,0.0,0.0737618545837724,0.0,0.0
O00233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072463768115942,0.0,0.0,0.0,0.0,0.0,0.0,0.0696517412935322,0.0,0.0,0.0,0.0,0.0,0.0,0.2639517345399695,0.0,0.0078563411896745,0.0,0.0
O00308,0.0,0.22033654537609648,2.39772683938931,0.0,0.0,0.0,1.5192996773507812,0.0719476744186046,0.0,0.0,0.0,1.252472706115883,0.0,0.0,0.0,0.0,0.0065420560747663,0.0,0.0,0.0,0.0,0.0,0.0,2.099973475978439,1.196687666381459,0.2214440523593768,0.0,0.0,0.0,0.0,0.0293576806264176,0.3033535850330295,0.2024161102436892,0.2475332684193442,0.0
O00425,0.0,0.0,0.0,0.0,0.2769230769230766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0318664643399089,0.0,0.0,0.0,0.0
O00482,0.0,0.208955223880597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0210843373493975,0.0,0.0,3.000000000000001,0.0,0.0,0.0790067720090293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O00499,0.0,0.0206489675516224,0.0,0.0,1.7038539553752534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056,0.0,1.3461538461538465,0.0,0.3783783783783783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O00560,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O00629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.019331453886428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O14595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0366492146596855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O14907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026002971768202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O14936,0.0,0.0,0.0,0.0,0.0,0.0,0.0320366132723112,0.0,0.0552784704904405,0.0,0.0,0.0464601769911504,0.0,0.0,0.0,0.0,0.0201342281879194,0.0,0.0,0.0,0.0,0.8630136986301365,0.1,0.0411764705882352,0.0680100755667506,0.0,0.0,0.0,0.126126126126126,0.0,0.0,0.0976290097629008,0.0361570247933884,0.0982456140350876,0.0
O14965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2153846153846152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0051948051948051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O14976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4945054945054944,0.0,0.0,0.0
O15018,0.0,0.023489932885906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1920731707317071,0.0,0.007918552036199,0.0,0.0
O15085,0.0,0.0,0.0,0.0,0.0614035087719298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2651515151515149,0.0,0.0,0.0,0.0
O15169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026002971768202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O15264,0.0,0.0921052631578944,0.0327868852459016,0.0,0.0,0.0,0.0779944289693592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072538860103626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0518326545723804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0157303370786516,0.0,0.0
O15355,0.0,0.0,0.0246768507638072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025945144551519,0.0,0.0,0.0,0.0,0.0,0.0,0.2641509433962264,0.0,0.0,0.0
O43166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.079455164585698,0.0,0.0
O43464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.585657370517928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O43559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0289256198347106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1423816568047335,0.0,0.0,0.0,0.0,0.0,0.0,0.0109034267912772,0.0,0.0,0.0
O43683,0.0,0.0,0.0,0.0,0.0,0.0,0.19774011299435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0291666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0220820189274447,0.0,0.0,0.0
O43719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0073068893528183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0332278481012658,0.0,0.49,0.0
O43791,0.0,0.3612903225806452,0.0239316239316239,0.0,0.2532299741602066,0.0,0.0725925925925926,0.0,0.0,0.0,0.0688202247191011,0.0608695652173913,0.0,0.0,0.0,0.0,3.409836065573771,0.0,0.0,0.0,0.0357142857142856,0.0182291666666666,0.0,0.0457516339869281,0.1809744779582366,0.13671875,0.0,0.0396600566572238,0.0,0.0,0.0858895705521472,0.0146596858638743,0.1334991708126036,0.0803059273422562,0.0
O60292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7824351297405188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O60861,0.0,0.0,0.341860465116279,0.0,0.0,0.0,0.1150684931506847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.414473684210526,0.0,0.0305676855895196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0657276995305164,0.0
O60880,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0906735751295335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O60885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8837675350701402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O75381,0.0,0.0,0.026615969581749,0.0248226950354609,0.0320121951219512,0.0,0.0,0.0,2.161520190023753,0.0,0.0,0.0,0.0295358649789029,0.0,0.0,0.0,0.0240756663800515,0.0,0.0,0.0,0.0,0.0,0.0459016393442623,0.00875,0.0362193859951707,0.1938461538461538,0.0,0.0,0.0303030303030303,0.0,0.0,0.33452807646356,0.1286764705882353,0.1037037037037036,0.0
O75400,0.0,0.42934691364933664,0.0,0.0,0.0,0.0,0.0,0.3758389261744966,0.0,0.0,0.0,0.0173267326732673,0.0,1.7979635779716063,0.0,0.0,0.07091056095139639,0.0,0.0,0.0,0.0,0.0,0.0,0.0110759493670886,0.0308437801181162,0.0,0.0,0.0,0.0,0.0,0.0,0.0209267563527653,0.0077177508269018,0.0,0.0
O75420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0570264765784112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.090909090909092
O75425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021021021021021,0.0,0.0,0.0663507109004738,0.0
O75554,0.0,0.0,0.0957810718358034,0.0,0.0,0.0,0.1099476439790573,0.0,0.0,0.0,0.0,0.423173803526448,0.0,0.0,0.0,0.0,0.0070850202429149,0.0,0.0,0.0,0.0,0.0,0.0,0.7392,0.1696035242290746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0230010952902519,0.0,0.0
O75674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0366492146596855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O75791,0.0,0.0,0.0078563411896745,0.0578512396694214,0.0424242424242424,0.0,0.0,0.0,0.0,0.0,0.0484988452655889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0409057706355003,0.0,0.0,0.0,0.0,0.0,1.4020028612303286,0.0310650887573964,0.0075512405609492,0.1434426229508195,0.0
O75843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.083333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O75970,0.0,0.094276094276094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0073068893528183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0103934669636228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031710079275198,0.0,0.0
O94875,0.0,0.0,0.0070281124497991,0.0619469026548672,0.0816666666666666,0.0,0.1676646706586826,0.0,1.530364372469636,0.0,0.0,0.0135658914728682,0.0,0.0,0.0,0.0,0.006323396567299,0.0,0.0,0.0,0.0,0.0,0.0252707581227436,0.0,0.0295462539570875,0.0,0.0,0.0,0.0,0.0,0.3656716417910448,0.1792573623559535,0.0067829457364341,0.0601719197707734,0.0
O95166,0.0,0.0321100917431192,0.063894523326572,0.0,0.106779661016949,0.0,0.0,0.0,0.056910569105691,0.0,0.0,0.0,0.0,0.0,0.0,0.0443037974683544,1.7994530537830449,0.0,0.5533596837944664,0.0,0.0336538461538461,0.0,0.0643382352941176,0.0,0.0247087892693258,0.0,0.0,0.0,0.0424242424242424,0.0,0.017632241813602,0.0544747081712062,0.2328767123287671,0.0412979351032448,0.0
O95271,0.0,0.0,0.0396375990939977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2058823529411764,1.1909262759924386,0.0,0.0,0.1267605633802816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025641025641025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0076169749727965,0.059322033898305,0.0
O95319,0.0,1.3050847457627115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0990566037735848,0.0,0.0,0.0,0.0,0.0275862068965517,0.0,0.0,0.0,0.0555555555555555,0.0,0.0,0.0,0.025445292620865,0.1394422310756972,0.0,0.0,0.0,0.0,0.0,0.3047895500725688,0.0819148936170212,0.0544747081712062,0.0
O95400,0.0,0.0904392764857881,0.0,0.0,0.0,0.0,0.0316742081447963,0.1386138613861386,0.0,0.1696969696969697,0.0584551148225469,0.0306345733041575,0.6885245901639344,0.0,0.0,0.0,0.0801526717557252,0.0,0.0,0.0,0.0,0.0,0.0,0.0408759124087591,0.0905172413793103,0.0,0.0,0.0,0.0,0.0,0.0281879194630872,0.0,0.1294964028776978,0.0724137931034482,0.7832167832167832
O95628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6800000000000002,0.0,0.0,0.0,0.0,0.0,0.0
