Cluster ID,N_RNA,N_DNA,DNA_Ratio,Virus_Families,Domains
0,12,5,0.29411764705882354,"Hepadnaviridae, Adenoviridae, Herpesviridae, Papillomaviridae, Reoviridae, Filoviridae, Picornaviridae, Caliciviridae, Flaviviridae, Rhabdoviridae, Arenaviridae, Coronaviridae, Phenuiviridae, Hepeviridae, Kolmioviridae, Birnaviridae, Parvoviridae","14-3-3_protein, AHNAK2*, ARC105/Med15_mediator_subunit_N-terminal_KIX_domain, ASF1_like_histone_chaperone, ATPase_family_associated_with_various_cellular_activities_(AAA), Agenet_domain, Autophagy_protein_ATG5,_UblB_domain, Chromo_shadow_domain, Clathrin_propeller_repeat, Cullin_family, DnaJ_C_terminal_domain, Domain_found_in_Dishevelled,_Egl-10,_and_Pleckstrin_(DEP), Dynein_light_chain_type_1, EF_hand, Eukaryotic_initiation_factor_4E, FKBP-type_peptidyl-prolyl_cis-trans_isomerase, GYF_domain, Golgi-dynamics_membrane-trafficking, HEAT-like_repeat, HEPN_domain, Histidine_kinase-,_DNA_gyrase_B-,_and_HSP90-like_ATPase, L1_transposable_element_RBD-like_domain, Mad3/BUB1_homology_region_1, Mitosis_protein_DIM1, Mob1/phocein_family, NLI_interacting_factor-like_phosphatase, PWI_domain, Phosphotyrosine_interaction_domain_(PTB/PID), Protein_phosphatase_2C, Protein_tyrosine_and_serine/threonine_kinase, Protein-L-isoaspartate(D-aspartate)_O-methyltransferase_(PCMT), Protein-tyrosine_phosphatase, RBM39*, RanBP1_domain, Regulator_of_G_protein_signaling_domain, Regulatory_subunit_of_type_II_PKA_R-subunit, SHANK2*, SMYD3*, SPRY_domain, STIP1*, SWIB/MDM2_domain, Sorting_Nexin_17_FERM_C-terminal_domain, TLN1*, TSG101_and_ALIX_binding_domain_of_CEP55, TTK*, Telomere_repeat_binding_factor_(TRF), Tetratricopeptide_repeat, Transcription_factor_S-II_(TFIIS), Ubiquitin_family, Ubiquitin-2_like_Rad60_SUMO-like, WW_domain"
1,2,0,0.0,"Picobirnaviridae, Nairoviridae","Adaptin_C-terminal_domain, Autophagy_protein_Atg8_ubiquitin_like, Cyclophilin_type_peptidyl-prolyl_cis-trans_isomerase/CLD, Focal_adhesion_targeting_region, MSP_(Major_sperm_protein)_domain, PARP10*, RRM-like_domain, Rhodanese-like_domain, SH3_domain"
2,2,0,0.0,"Paramyxoviridae, Nodaviridae","EF-hand_domain, HORMA_domain, MATH_domain, Signal_peptide_binding_domain, WH1_domain"
3,1,0,0.0,Pneumoviridae,"Adaptor_complexes_medium_subunit_family, Ankyrin_repeat, Calcineurin-like_phosphoesterase, Cytoskeletal-regulatory_complex_EF_hand, FERM_central_domain, HIRAN_domain, Knl1_RWD_C-terminal_domain, Paired_amphipathic_helix_repeat, Pex14_N-terminal_domain, Protein_kinase_domain, REPS1*, UEV_domain, Ubiquitin-conjugating_enzyme"
4,1,0,0.0,Astroviridae,"Ankyrin_repeats_(3_copies), Nucleoporin_autopeptidase, Transcription_initiation_factor_IIF,_alpha_subunit_(TFIIF-alpha), Variant_SH3_domain"
5,3,0,0.0,"Matonaviridae, Togaviridae, Tobaniviridae","Bromodomain_extra-terminal_-_transcription_regulation, DNA_repair_protein_REV1_C-terminal_domain, EF-hand_domain_pair, PTB_domain_(IRS-1_type), RNA_recognition_motif, Replication_protein_A_C_terminal"
6,2,0,0.0,"Bornaviridae, Arteriviridae","ALIX_V-shaped_domain_binding_to_HIV, Kelch_motif, Nuclear_transport_factor_2_(NTF2)_domain, VCL*"
7,1,1,0.5,"Anelloviridae, Peribunyaviridae","KH_domain, PDZ_domain, VHS_domain"
8,1,1,0.5,"Polyomaviridae, Hantaviridae","Ligand-binding_domain_of_nuclear_hormone_receptor, PIK3R1*, ZMYND11*"
9,2,1,0.3333333333333333,"Orthomyxoviridae, Poxviridae, Retroviridae","Armadillo/beta-catenin-like_repeat, Calcineurin-like_phosphoesterase_superfamily_domain, Creb_binding, Helicase_conserved_C-terminal_domain, Kinase_non-catalytic_C-lobe_domain, MYL6*, Oxidative-stress-responsive_kinase_1_C-terminal_domain, SH2_domain, Sec7_domain, Suppressor_of_fused_protein_(SUFU), USP8_dimerisation_domain, WD_domain,_G-beta_repeat"
