Cluster ID,N_RNA,N_DNA,DNA_Ratio,Virus_Families,Domains
0,1,1,0.5,"Hepadnaviridae, Filoviridae","14-3-3_protein, Domain_found_in_Dishevelled,_Egl-10,_and_Pleckstrin_(DEP), SHANK2*, Ubiquitin_family"
1,2,0,0.0,"Picobirnaviridae, Nairoviridae","Adaptin_C-terminal_domain, Autophagy_protein_Atg8_ubiquitin_like, Cyclophilin_type_peptidyl-prolyl_cis-trans_isomerase/CLD, Focal_adhesion_targeting_region, PARP10*, RRM-like_domain, Rhodanese-like_domain, SH3_domain"
2,2,0,0.0,"Paramyxoviridae, Nodaviridae","EF-hand_domain, HORMA_domain, MATH_domain, Signal_peptide_binding_domain, WH1_domain"
3,1,0,0.0,Pneumoviridae,"Adaptor_complexes_medium_subunit_family, Knl1_RWD_C-terminal_domain, Paired_amphipathic_helix_repeat, REPS1*, Ubiquitin-conjugating_enzyme"
4,1,0,0.0,Astroviridae,"Ankyrin_repeats_(3_copies), Nucleoporin_autopeptidase, Transcription_initiation_factor_IIF,_alpha_subunit_(TFIIF-alpha), Variant_SH3_domain"
5,2,0,0.0,"Matonaviridae, Tobaniviridae","Bromodomain_extra-terminal_-_transcription_regulation, DNA_repair_protein_REV1_C-terminal_domain, EF-hand_domain_pair, PTB_domain_(IRS-1_type), RNA_recognition_motif, Replication_protein_A_C_terminal"
6,2,0,0.0,"Bornaviridae, Arteriviridae","ALIX_V-shaped_domain_binding_to_HIV, Kelch_motif, Nuclear_transport_factor_2_(NTF2)_domain, VCL*"
7,1,1,0.5,"Anelloviridae, Peribunyaviridae","KH_domain, PDZ_domain, VHS_domain"
8,1,1,0.5,"Polyomaviridae, Hantaviridae","Ligand-binding_domain_of_nuclear_hormone_receptor, PIK3R1*, ZMYND11*"
9,2,1,0.3333333333333333,"Orthomyxoviridae, Poxviridae, Retroviridae","Armadillo/beta-catenin-like_repeat, Calcineurin-like_phosphoesterase_superfamily_domain, Creb_binding, Helicase_conserved_C-terminal_domain, Kinase_non-catalytic_C-lobe_domain, MYL6*, Oxidative-stress-responsive_kinase_1_C-terminal_domain, SH2_domain, Sec7_domain, Suppressor_of_fused_protein_(SUFU), USP8_dimerisation_domain, WD_domain,_G-beta_repeat"
10,2,0,0.0,"Hepeviridae, Kolmioviridae","GYF_domain, WW_domain"
11,2,1,0.3333333333333333,"Adenoviridae, Picornaviridae, Rhabdoviridae","AHNAK2*, ARC105/Med15_mediator_subunit_N-terminal_KIX_domain, Autophagy_protein_ATG5,_UblB_domain, FKBP-type_peptidyl-prolyl_cis-trans_isomerase, Histidine_kinase-,_DNA_gyrase_B-,_and_HSP90-like_ATPase, Protein-tyrosine_phosphatase, RanBP1_domain, Regulatory_subunit_of_type_II_PKA_R-subunit, SPRY_domain, SWIB/MDM2_domain, TSG101_and_ALIX_binding_domain_of_CEP55, Telomere_repeat_binding_factor_(TRF), Ubiquitin-2_like_Rad60_SUMO-like"
12,1,1,0.5,"Herpesviridae, Flaviviridae","Chromo_shadow_domain, Cullin_family, EF_hand, Eukaryotic_initiation_factor_4E, Mob1/phocein_family, PWI_domain, Protein_tyrosine_and_serine/threonine_kinase, RBM39*, Regulator_of_G_protein_signaling_domain, Transcription_factor_S-II_(TFIIS)"
13,3,0,0.0,"Caliciviridae, Arenaviridae, Phenuiviridae","HEPN_domain, Mitosis_protein_DIM1, Phosphotyrosine_interaction_domain_(PTB/PID)"
14,0,0,0,,ATPase_family_associated_with_various_cellular_activities_(AAA)
15,0,1,1.0,Papillomaviridae,"Clathrin_propeller_repeat, DnaJ_C_terminal_domain, Golgi-dynamics_membrane-trafficking, HEAT-like_repeat, NLI_interacting_factor-like_phosphatase, SMYD3*, Sorting_Nexin_17_FERM_C-terminal_domain, Tetratricopeptide_repeat"
16,2,0,0.0,"Reoviridae, Coronaviridae","ASF1_like_histone_chaperone, Dynein_light_chain_type_1, L1_transposable_element_RBD-like_domain, Mad3/BUB1_homology_region_1, Protein_phosphatase_2C, Protein-L-isoaspartate(D-aspartate)_O-methyltransferase_(PCMT), STIP1*, TLN1*, TTK*"
17,0,0,0,,Agenet_domain
18,1,1,0.5,"Birnaviridae, Parvoviridae",
19,1,0,0.0,Togaviridae,
20,0,0,0,,Ankyrin_repeat
21,0,0,0,,Cytoskeletal-regulatory_complex_EF_hand
22,0,0,0,,UEV_domain
23,0,0,0,,Calcineurin-like_phosphoesterase
24,0,0,0,,HIRAN_domain
25,0,0,0,,"FERM_central_domain, Pex14_N-terminal_domain"
26,0,0,0,,Protein_kinase_domain
27,0,0,0,,MSP_(Major_sperm_protein)_domain
