Cluster ID,N_RNA,N_DNA,DNA_Ratio,Virus_Families,Domains
0,9,2,0.18181818181818182,"Hepadnaviridae, Papillomaviridae, Astroviridae, Bornaviridae, Caliciviridae, Flaviviridae, Picobirnaviridae, Tobaniviridae, Phenuiviridae, Nodaviridae, Peribunyaviridae","14-3-3_protein, AHNAK2*, ALIX_V-shaped_domain_binding_to_HIV, Autophagy_protein_Atg8_ubiquitin_like, DnaJ_C_terminal_domain, EF_hand, Golgi-dynamics_membrane-trafficking, HEAT-like_repeat, MATH_domain, Mad3/BUB1_homology_region_1, Mob1/phocein_family, NLI_interacting_factor-like_phosphatase, Nucleoporin_autopeptidase, Oxidative-stress-responsive_kinase_1_C-terminal_domain, PTB_domain_(IRS-1_type), RBM39*, SMYD3*, Signal_peptide_binding_domain, Sorting_Nexin_17_FERM_C-terminal_domain, Transcription_initiation_factor_IIF,_alpha_subunit_(TFIIF-alpha), VCL*"
1,5,3,0.375,"Adenoviridae, Herpesviridae, Reoviridae, Retroviridae, Filoviridae, Rhabdoviridae, Arenaviridae, Parvoviridae","ARC105/Med15_mediator_subunit_N-terminal_KIX_domain, Adaptin_C-terminal_domain, Adaptor_complexes_medium_subunit_family, Autophagy_protein_ATG5,_UblB_domain, Chromo_shadow_domain, Clathrin_propeller_repeat, Creb_binding, Cullin_family, Cyclophilin_type_peptidyl-prolyl_cis-trans_isomerase/CLD, Domain_found_in_Dishevelled,_Egl-10,_and_Pleckstrin_(DEP), Dynein_light_chain_type_1, EF-hand_domain_pair, Eukaryotic_initiation_factor_4E, FKBP-type_peptidyl-prolyl_cis-trans_isomerase, Focal_adhesion_targeting_region, HIRAN_domain, HORMA_domain, Histidine_kinase-,_DNA_gyrase_B-,_and_HSP90-like_ATPase, KH_domain, Kelch_motif, Knl1_RWD_C-terminal_domain, Ligand-binding_domain_of_nuclear_hormone_receptor, MSP_(Major_sperm_protein)_domain, MYL6*, PARP10*, Phosphotyrosine_interaction_domain_(PTB/PID), Protein_kinase_domain, Protein_phosphatase_2C, Protein_tyrosine_and_serine/threonine_kinase, Protein-L-isoaspartate(D-aspartate)_O-methyltransferase_(PCMT), Protein-tyrosine_phosphatase, RanBP1_domain, Regulator_of_G_protein_signaling_domain, SH2_domain, SPRY_domain, SWIB/MDM2_domain, TLN1*, TSG101_and_ALIX_binding_domain_of_CEP55, TTK*, Telomere_repeat_binding_factor_(TRF), Tetratricopeptide_repeat, Transcription_factor_S-II_(TFIIS), UEV_domain, USP8_dimerisation_domain, Ubiquitin_family, Ubiquitin-2_like_Rad60_SUMO-like, WD_domain,_G-beta_repeat, WH1_domain, WW_domain, ZMYND11*"
2,5,0,0.0,"Orthomyxoviridae, Paramyxoviridae, Coronaviridae, Pneumoviridae, Birnaviridae","ASF1_like_histone_chaperone, Armadillo/beta-catenin-like_repeat, DNA_repair_protein_REV1_C-terminal_domain, EF-hand_domain, FERM_central_domain, Helicase_conserved_C-terminal_domain, L1_transposable_element_RBD-like_domain, PWI_domain, Paired_amphipathic_helix_repeat, Pex14_N-terminal_domain, REPS1*, STIP1*, Ubiquitin-conjugating_enzyme"
3,5,1,0.16666666666666666,"Togaviridae, Picornaviridae, Arteriviridae, Hepeviridae, Anelloviridae, Nairoviridae","ATPase_family_associated_with_various_cellular_activities_(AAA), Agenet_domain, Nuclear_transport_factor_2_(NTF2)_domain, Regulatory_subunit_of_type_II_PKA_R-subunit, SH3_domain"
4,3,1,0.25,"Matonaviridae, Poxviridae, Kolmioviridae, Hantaviridae","Ankyrin_repeat, Ankyrin_repeats_(3_copies), Bromodomain_extra-terminal_-_transcription_regulation, Cytoskeletal-regulatory_complex_EF_hand, GYF_domain, HEPN_domain, Kinase_non-catalytic_C-lobe_domain, PDZ_domain, PIK3R1*, RNA_recognition_motif, RRM-like_domain, Replication_protein_A_C_terminal, Suppressor_of_fused_protein_(SUFU), VHS_domain"
5,0,1,1.0,Polyomaviridae,Calcineurin-like_phosphoesterase
6,0,0,0,,Variant_SH3_domain
7,0,0,0,,"Calcineurin-like_phosphoesterase_superfamily_domain, Sec7_domain"
8,0,0,0,,Mitosis_protein_DIM1
9,0,0,0,,SHANK2*
10,0,0,0,,Rhodanese-like_domain
