Cluster ID,N_RNA,N_DNA,DNA_Ratio,Virus_Families,Domains
0,5,2,0.2857142857142857,"Hepadnaviridae, Filoviridae, Rhabdoviridae, Arenaviridae, Phenuiviridae, Birnaviridae, Parvoviridae","14-3-3_protein, Calcineurin-like_phosphoesterase, Domain_found_in_Dishevelled,_Egl-10,_and_Pleckstrin_(DEP), HEPN_domain, PDZ_domain, Pex14_N-terminal_domain, Phosphotyrosine_interaction_domain_(PTB/PID), SHANK2*, TSG101_and_ALIX_binding_domain_of_CEP55, Ubiquitin_family, WW_domain"
1,2,0,0.0,"Picobirnaviridae, Nairoviridae","Adaptin_C-terminal_domain, Autophagy_protein_Atg8_ubiquitin_like, Cyclophilin_type_peptidyl-prolyl_cis-trans_isomerase/CLD, Focal_adhesion_targeting_region, PARP10*, RRM-like_domain, Rhodanese-like_domain"
2,2,0,0.0,"Paramyxoviridae, Nodaviridae","EF-hand_domain, HORMA_domain, MATH_domain, Signal_peptide_binding_domain, WH1_domain"
3,1,0,0.0,Matonaviridae,"Protein_kinase_domain, RNA_recognition_motif"
4,1,0,0.0,Astroviridae,"Ankyrin_repeats_(3_copies), Ligand-binding_domain_of_nuclear_hormone_receptor, Nucleoporin_autopeptidase, Transcription_initiation_factor_IIF,_alpha_subunit_(TFIIF-alpha), Variant_SH3_domain"
5,3,0,0.0,"Bornaviridae, Retroviridae, Arteriviridae","ALIX_V-shaped_domain_binding_to_HIV, Kelch_motif, Nuclear_transport_factor_2_(NTF2)_domain, VCL*"
6,0,1,1.0,Poxviridae,"Helicase_conserved_C-terminal_domain, Kinase_non-catalytic_C-lobe_domain, Oxidative-stress-responsive_kinase_1_C-terminal_domain, Suppressor_of_fused_protein_(SUFU)"
7,2,2,0.5,"Orthomyxoviridae, Papillomaviridae, Togaviridae, Anelloviridae","AHNAK2*, ASF1_like_histone_chaperone, ATPase_family_associated_with_various_cellular_activities_(AAA), Agenet_domain, Armadillo/beta-catenin-like_repeat, Clathrin_propeller_repeat, DnaJ_C_terminal_domain, Golgi-dynamics_membrane-trafficking, HEAT-like_repeat, NLI_interacting_factor-like_phosphatase, RanBP1_domain, SMYD3*, Sorting_Nexin_17_FERM_C-terminal_domain, TLN1*, VHS_domain, WD_domain,_G-beta_repeat, ZMYND11*"
8,2,2,0.5,"Adenoviridae, Herpesviridae, Picornaviridae, Flaviviridae","ARC105/Med15_mediator_subunit_N-terminal_KIX_domain, Autophagy_protein_ATG5,_UblB_domain, Chromo_shadow_domain, Cullin_family, EF_hand, Eukaryotic_initiation_factor_4E, Histidine_kinase-,_DNA_gyrase_B-,_and_HSP90-like_ATPase, MYL6*, Mitosis_protein_DIM1, Mob1/phocein_family, PWI_domain, Protein_tyrosine_and_serine/threonine_kinase, Protein-tyrosine_phosphatase, RBM39*, Regulator_of_G_protein_signaling_domain, Regulatory_subunit_of_type_II_PKA_R-subunit, Replication_protein_A_C_terminal, SPRY_domain, SWIB/MDM2_domain, Telomere_repeat_binding_factor_(TRF), Tetratricopeptide_repeat, Transcription_factor_S-II_(TFIIS), USP8_dimerisation_domain, Ubiquitin-2_like_Rad60_SUMO-like"
9,2,0,0.0,"Reoviridae, Coronaviridae","Creb_binding, Dynein_light_chain_type_1, FKBP-type_peptidyl-prolyl_cis-trans_isomerase, L1_transposable_element_RBD-like_domain, Mad3/BUB1_homology_region_1, Protein_phosphatase_2C, Protein-L-isoaspartate(D-aspartate)_O-methyltransferase_(PCMT), STIP1*, TTK*"
10,0,0,0,,Bromodomain_extra-terminal_-_transcription_regulation
11,0,0,0,,"Calcineurin-like_phosphoesterase_superfamily_domain, Sec7_domain"
12,2,1,0.3333333333333333,"Polyomaviridae, Kolmioviridae, Hantaviridae","GYF_domain, KH_domain, PIK3R1*"
13,0,0,0,,"Ankyrin_repeat, FERM_central_domain"
14,1,0,0.0,Pneumoviridae,"Adaptor_complexes_medium_subunit_family, Knl1_RWD_C-terminal_domain, Paired_amphipathic_helix_repeat, Ubiquitin-conjugating_enzyme"
15,3,0,0.0,"Caliciviridae, Tobaniviridae, Hepeviridae","Cytoskeletal-regulatory_complex_EF_hand, DNA_repair_protein_REV1_C-terminal_domain, EF-hand_domain_pair, PTB_domain_(IRS-1_type), REPS1*, SH2_domain, UEV_domain"
16,1,0,0.0,Peribunyaviridae,MSP_(Major_sperm_protein)_domain
17,0,0,0,,"HIRAN_domain, SH3_domain"
