human_accession,Adenoviridae,Anelloviridae,Arenaviridae,Arteriviridae,Astroviridae,Birnaviridae,Bornaviridae,Caliciviridae,Coronaviridae,Filoviridae,Flaviviridae,Hantaviridae,Hepadnaviridae,Hepeviridae,Herpesviridae,Kolmioviridae,Matonaviridae,Nairoviridae,Nodaviridae,Orthomyxoviridae,Papillomaviridae,Paramyxoviridae,Parvoviridae,Peribunyaviridae,Phenuiviridae,Picobirnaviridae,Picornaviridae,Pneumoviridae,Polyomaviridae,Poxviridae,Reoviridae,Retroviridae,Rhabdoviridae,Tobaniviridae,Togaviridae
O00213,3,0,0,0,0,0,0,0,0,8,4,0,0,0,22,0,0,0,0,0,5,7,0,0,1,0,2,0,0,5,1,5,6,0,1
O00233,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,1,0,0,1
O00308,12,0,0,0,0,0,0,5,20,30,1,0,0,2,68,0,0,0,0,0,1,8,0,0,0,0,3,0,0,4,14,14,47,0,0
O00425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,3
O00482,2,1,0,0,1,0,0,0,0,0,5,3,0,0,15,0,0,0,0,0,3,1,0,0,0,0,0,0,0,5,2,3,1,0,0
O00499,0,0,0,2,6,0,0,0,0,0,2,0,0,1,6,0,0,0,0,0,4,0,0,0,0,0,3,0,0,1,1,0,0,0,20
O00560,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0
O00629,2,1,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,153,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
O14595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O14907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O14936,3,0,3,0,0,0,0,2,5,4,7,0,0,0,27,0,8,0,0,19,3,0,0,0,1,0,0,0,0,0,2,5,0,0,0
O14965,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O14976,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O15018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0
O15085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2
O15169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O15264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,1,0,0
O15355,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
O43166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
O43464,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
O43559,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O43683,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0
O43719,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O43791,6,0,1,1,0,0,0,6,2,6,9,0,7,0,78,0,7,4,0,0,104,15,2,0,0,0,12,3,0,16,7,23,4,0,14
O60292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
O60861,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,7,0,1
O60880,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O60885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
O75381,0,4,0,1,0,0,0,2,8,1,4,0,0,0,15,0,7,0,0,130,4,3,0,0,1,0,0,1,1,0,0,20,4,0,3
O75400,1,0,0,0,1,0,0,0,2,1,0,0,0,4,12,0,27,0,0,0,10,0,0,0,0,0,0,0,0,8,0,1,0,0,2
O75420,2,0,0,0,0,0,0,0,0,2,0,0,0,1,8,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,1,0,0
O75425,0,0,0,0,0,0,0,1,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,4,0,0,0
O75554,4,0,0,0,0,0,0,0,0,11,0,0,0,0,11,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,2,0,0
O75674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O75791,0,1,0,0,0,0,0,1,1,0,0,0,3,0,16,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0,1,1,0,3
O75843,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
O75970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0
O94875,1,0,0,3,0,0,0,1,4,0,2,0,0,0,12,0,1,0,0,90,1,0,0,0,0,0,14,2,0,0,12,1,1,1,7
O95166,0,0,0,1,5,0,0,1,3,0,5,0,0,0,10,0,0,0,0,20,47,0,0,0,1,1,1,0,0,2,0,34,9,0,3
O95271,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,18,0,0,0,9,0,0,0,0,0,0,1,1,0,0,1,5,0,1
O95319,3,0,0,1,0,0,0,1,15,0,3,0,1,0,5,0,0,1,0,0,4,5,0,0,0,0,0,0,0,11,0,11,0,0,0
O95400,2,4,0,0,1,0,0,3,0,4,0,0,4,2,36,4,9,0,0,0,3,0,0,0,0,0,3,0,3,5,2,9,0,0,0
O95628,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
