,Nairoviridae,Poxviridae,Rhabdoviridae,Pneumoviridae,Togaviridae,Nodaviridae,Reoviridae,Hepeviridae,Orthomyxoviridae,Anelloviridae,Hepadnaviridae,Adenoviridae,Polyomaviridae,Matonaviridae,Bornaviridae,Picobirnaviridae,Papillomaviridae,Peribunyaviridae,Astroviridae,Hantaviridae,Arteriviridae,Arenaviridae,Flaviviridae,Filoviridae,Herpesviridae,Paramyxoviridae,Birnaviridae,Parvoviridae,Phenuiviridae,Tobaniviridae,Picornaviridae,Coronaviridae,Retroviridae,Caliciviridae,Kolmioviridae
OXSR1___O95747_434_527,0.0,0.4530744336569575,0.0,0.0,0.0,0.0,0.0,0.0,0.0060008572653236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072164948453608,0.0,0.0,0.0,0.0,0.0,0.0167865707434052,0.0,0.0103473762010346,0.13785557986870892,0.0,0.0,0.0,0.0,0.0209895052473762,0.0,0.0156424581005586,0.0,0.0
Puf60_RRM_12_Q9UHX1_118_316,0.0,0.0,0.0459518599562362,0.0,0.0,0.0,0.0334128878281622,0.0391061452513966,0.0,0.0,0.614035087719298,0.2258064516129032,0.0,0.0,0.0,0.0,0.1502439024390244,0.0,0.0,0.0,0.0,0.0,0.0,0.0211480362537764,0.0811300253531328,0.0,0.0,0.1443298969072164,0.150537634408602,0.0,0.0,0.0,0.051578947368421,0.0524344569288388,0.0
HOMER2_EVH1__Q9NSB8_1_111,0.0,0.336,0.5448648648648647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4719101123595504,0.0,0.0,0.0,0.0,0.0135135135135135,0.0,0.0,0.0,0.0,0.0,0.0,0.3120356612184246,0.3636363636363636,0.0,0.0,0.0,0.0,0.0673076923076923,0.0,0.0098591549295774,0.3933402705515088,0.0,0.0
GGA1_VHS__Q9UJY5_1_157,0.0,0.4590163934426229,0.0458515283842794,0.0,0.48461538461538445,0.0,0.1330166270783848,0.0,0.0,0.0,0.0,0.0321100917431192,0.0,0.1245551601423487,0.0,0.0,0.0681596884128528,0.0823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0658704306912776,0.027237354085603,0.0,0.0,0.0,0.0,0.0290055248618784,0.0099857346647646,0.0147058823529411,0.104089219330855,0.0
GGA-B_Alpha-adaptinC2__Q9NZ52_579_723,0.0,0.0,0.0324449594438006,0.0,0.0,0.0,0.0380434782608694,0.0,0.0,0.0,0.0,0.0,0.8749999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3491686460807601,0.1374795417348608,0.0051660516605166,0.0303687635574837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AP1G2_GAE__O75843_665_785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.083333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNX33_SH3_1_Q8WV41_2_60,0.0,0.0,0.0,0.0,0.0,0.0,0.6579634464751956,0.0,0.0,0.0,0.0,0.0703517587939696,0.0,0.0,0.0,0.0,0.0141557128412537,0.0,0.0,0.0,0.42000000000000004,0.0,0.0,0.0,0.0411009174311924,0.0294117647058823,0.0,0.0,0.0,0.0,0.0306122448979591,0.0105580693815987,0.0229759299781181,0.0303030303030303,0.0
RALY_RRM__Q9UKM9_1_97,0.0,0.0320366132723112,0.0,0.0967741935483871,0.0947546531302876,0.0,0.0,0.0,0.0910199106054449,0.0,0.158790170132325,0.0690335305719921,0.0813953488372092,0.0,0.0,0.0,0.2550091074681236,0.0,0.0551181102362204,0.0,0.0,0.0,0.5394495412844037,0.0,0.0938602681721947,0.0239316239316238,0.0,0.0,0.0,0.0,0.0176100628930816,0.2176165803108808,0.0547409579667644,0.0,0.7253886010362692
GTF2F1___P35269_449_517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YES1_SH3__P07947_90_152,1.2173913043478262,0.0178571428571428,0.0,0.0,0.0,0.0,0.0,0.8454106280193235,0.0,1.9764705882352938,0.0,0.0454545454545454,0.0,0.0,0.0,0.0,0.0132953466286799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1229831480817497,0.0129629629629629,0.0,0.0,0.0,0.0,0.0,0.0096286107290233,0.679959100204499,0.023728813559322,0.0
WWP2_WW_WW3_O00308_411_441,0.0,0.1026894865525671,1.0218978102189782,0.0,0.0,0.0,0.633620689655172,0.03125,0.0,0.0,0.0,1.0229645093945718,0.0,0.0,0.0,0.0,0.0065420560747663,0.0,0.0,0.0,0.0,0.0,0.0,0.8316831683168316,0.698503207412687,0.0754039497307,0.0,0.0,0.0,0.0,0.0091264667535853,0.0940860215053763,0.0984924623115578,0.1346153846153846,0.0
PARP10_RRM__Q53GL7_10_99,0.0,0.0821114369501466,0.0,0.0,0.0,0.0,0.0176767676767676,0.0,0.0,0.0,0.3879907621247112,0.0170316301703163,0.0,0.0,0.0,0.4444444444444444,0.0558882235528942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0511322132943754,0.0,0.0,0.0,0.0,0.0,0.0,0.0828402366863905,0.0075512405609492,0.0,0.0
HSP90AB1___P08238_1_231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029991431019708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7033492822966505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0314371257485029,0.0108527131782945,0.0,0.0328638497652582,0.0
