human_accession,Adenoviridae,Anelloviridae,Arenaviridae,Arteriviridae,Astroviridae,Birnaviridae,Bornaviridae,Caliciviridae,Coronaviridae,Filoviridae,Flaviviridae,Hantaviridae,Hepadnaviridae,Hepeviridae,Herpesviridae,Kolmioviridae,Matonaviridae,Nairoviridae,Nodaviridae,Orthomyxoviridae,Papillomaviridae,Paramyxoviridae,Parvoviridae,Peribunyaviridae,Phenuiviridae,Picobirnaviridae,Picornaviridae,Pneumoviridae,Polyomaviridae,Poxviridae,Reoviridae,Retroviridae,Rhabdoviridae,Tobaniviridae,Togaviridae
O00213,0.005312868949232586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00870195794053662,0.00641254007837549,0.0,0.0,0.0,0.00525756771109931,0.0,0.0,0.0,0.0,0.0,0.0033692722371967657,0.010204081632653062,0.0,0.0,0.02922077922077922,0.0,0.0019749835418038184,0.0,0.0,0.010970258410531447,0.0018472906403940886,0.0036567528035104826,0.004575495678698525,0.0,0.0014381591562799617
O00233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019035532994923856,0.009351620947630923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003930817610062893,0.0,0.0,0.0,0.0,0.0,0.02880184331797235,0.0,0.0,0.0,0.0,0.004266211604095562,0.0,0.0,0.008389261744966441
O00308,0.006496084304738532,0.0,0.0,0.0,0.0,0.0,0.0,0.005012922199447464,0.006258170389119127,0.009974951787733026,0.0004900412723649392,0.0,0.0,0.00363901018922853,0.004967451827080729,0.0,0.0,0.0,0.0,0.0,0.0002059817088242564,0.0035647446751626414,0.0,0.0,0.0,0.0,0.0009055601392550258,0.0,0.0,0.002682683279431271,0.007905435928324047,0.0031297971593364825,0.010955881210275218,0.0,0.0
O00425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025921658986175114,0.0,0.0,0.0,0.0,0.0,0.013345195729537367,0.0,0.037751677852348994
O00482,0.0059031877213695395,0.015090543259557342,0.0,0.0,0.00974025974025974,0.0,0.0,0.0,0.0,0.0,0.013359458496615602,0.4591836734693877,0.0,0.0,0.005974508762612851,0.0,0.0,0.0,0.0,0.0,0.0033692722371967657,0.0024295432458697765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018283764017552412,0.006157635467980296,0.0036567528035104826,0.0012709710218607015,0.0,0.0
O00499,0.0,0.0,0.0,0.030100334448160532,0.05335968379446641,0.0,0.0,0.0,0.0,0.0,0.004879106581372655,0.0,0.0,0.009057971014492754,0.0021819945046064326,0.0,0.0,0.0,0.0,0.0,0.004101722723543888,0.0,0.0,0.0,0.0,0.0,0.004508114606291324,0.0,0.0,0.0033387742988573972,0.002811094452773613,0.0,0.0,0.0,0.04377006127808579
O00560,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015228426395939085,0.0,0.0,0.0,0.0,0.0,0.0,0.049079754601226995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013824884792626727,0.0,0.0,0.0,0.0,0.00341296928327645,0.0,0.0,0.0
O00629,0.0014935776162501243,0.0038180892584422197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002028062374185019,0.0,0.0,0.0,0.00040309938639315626,0.0,0.0,0.0,0.0,0.01790069210809574,0.0005683109797681291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003084008388502817,0.0,0.0,0.0
O14595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04716981132075472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O14907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016728624535315983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
