human_accession,Adenoviridae,Anelloviridae,Arenaviridae,Arteriviridae,Astroviridae,Birnaviridae,Bornaviridae,Caliciviridae,Coronaviridae,Filoviridae,Flaviviridae,Hantaviridae,Hepadnaviridae,Hepeviridae,Herpesviridae,Kolmioviridae,Matonaviridae,Nairoviridae,Nodaviridae,Orthomyxoviridae,Papillomaviridae,Paramyxoviridae,Parvoviridae,Peribunyaviridae,Phenuiviridae,Picobirnaviridae,Picornaviridae,Pneumoviridae,Polyomaviridae,Poxviridae,Reoviridae,Retroviridae,Rhabdoviridae,Tobaniviridae,Togaviridae
O00213,0.0001180637544273908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019337684312303603,0.00014250089063056644,0.0,0.0,0.0,0.0001168348380244291,0.0,0.0,0.0,0.0,0.0,7.487271638215035e-05,0.00022675736961451248,0.0,0.0,0.0006493506493506494,0.0,4.3888523151195965e-05,0.0,0.0,0.00024378352023403217,4.105090311986864e-05,8.126117341134406e-05,0.00010167768174885612,0.0,3.195909236177693e-05
O00233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00042301184433164127,0.00020781379883624273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.735150244584206e-05,0.0,0.0,0.0,0.0,0.0,0.0006400409626216078,0.0,0.0,0.0,0.0,9.480470231323473e-05,0.0,0.0,0.00018642803877703205
O00308,0.0001443574289941896,0.0,0.0,0.0,0.0,0.0,0.0,0.00011139827109883254,0.00013907045309153617,0.00022166559528295613,1.0889806052554203e-05,0.0,0.0,8.086689309396733e-05,0.00011038781837957176,0.0,0.0,0.0,0.0,0.0,4.5773713072056975e-06,7.921654833694759e-05,0.0,0.0,0.0,0.0,2.0123558650111685e-05,0.0,0.0,5.961518398736158e-05,0.0001756763539627566,6.955104798525517e-05,0.00024346402689500484,0.0,0.0
O00425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000576036866359447,0.0,0.0,0.0,0.0,0.0,0.0002965599051008304,0.0,0.0008389261744966443
O00482,0.00013118194936376755,0.00033534540576794097,0.0,0.0,0.00021645021645021645,0.0,0.0,0.0,0.0,0.0,0.0002968768554803467,0.01020408163265306,0.0,0.0,0.0001327668613913967,0.0,0.0,0.0,0.0,0.0,7.487271638215035e-05,5.398984990821726e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004063058670567203,0.00013683634373289546,8.126117341134406e-05,2.8243800485793367e-05,0.0,0.0
O00499,0.0,0.0,0.0,0.0006688963210702341,0.0011857707509881424,0.0,0.0,0.0,0.0,0.0,0.00010842459069717012,0.0,0.0,0.00020128824476650564,4.848876676903184e-05,0.0,0.0,0.0,0.0,0.0,9.114939385653085e-05,0.0,0.0,0.0,0.0,0.0,0.00010018032458425165,0.0,0.0,7.419498441905327e-05,6.24687656171914e-05,0.0,0.0,0.0,0.0009726680284019065
O00560,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00033840947546531303,0.0,0.0,0.0,0.0,0.0,0.0,0.0010906612133606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00030721966205837174,0.0,0.0,0.0,0.0,7.584376185058778e-05,0.0,0.0,0.0
O00629,3.319061369444721e-05,8.484642796538266e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5068052759667094e-05,0.0,0.0,0.0,8.95776414207014e-06,0.0,0.0,0.0,0.0,0.00039779315795768314,1.2629132883736203e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.853351974450704e-06,0.0,0.0,0.0
O14595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010482180293501049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O14907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003717472118959108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O14936,9.285913269570062e-05,0.0,0.0005913660555884093,0.0,0.0,0.0,0.0,0.00011465260261407934,8.945824089315107e-05,7.604707313827259e-05,0.00019613886631735268,0.0,0.0,0.0,0.00011277724405831001,0.0,0.000183819305622573,0.0,0.0,9.213774107355017e-05,3.533319200056533e-05,0.0,0.0,0.0,0.0005107252298263534,0.0,0.0,0.0,0.0,0.0,6.457445434586077e-05,6.39132824583605e-05,0.0,0.0,0.0
