Cluster ID,N_RNA,N_DNA,DNA_Ratio,Virus_Families,Domains
0,0,1,1.0,Hepadnaviridae,"14-3-3_protein, Domain_found_in_Dishevelled,_Egl-10,_and_Pleckstrin_(DEP), RRM-like_domain, SHANK2*, Ubiquitin_family"
1,2,0,0.0,"Matonaviridae, Birnaviridae","AHNAK2*, Ankyrin_repeat, Bromodomain_extra-terminal_-_transcription_regulation, FERM_central_domain, HEPN_domain, PDZ_domain, Replication_protein_A_C_terminal, WH1_domain"
2,2,2,0.5,"Adenoviridae, Herpesviridae, Picornaviridae, Flaviviridae","ARC105/Med15_mediator_subunit_N-terminal_KIX_domain, Autophagy_protein_ATG5,_UblB_domain, Chromo_shadow_domain, Cullin_family, EF_hand, Eukaryotic_initiation_factor_4E, Histidine_kinase-,_DNA_gyrase_B-,_and_HSP90-like_ATPase, Mitosis_protein_DIM1, Mob1/phocein_family, PWI_domain, Protein_tyrosine_and_serine/threonine_kinase, Protein-tyrosine_phosphatase, RBM39*, RanBP1_domain, Regulator_of_G_protein_signaling_domain, Regulatory_subunit_of_type_II_PKA_R-subunit, SPRY_domain, SWIB/MDM2_domain, Telomere_repeat_binding_factor_(TRF), Transcription_factor_S-II_(TFIIS), USP8_dimerisation_domain, Ubiquitin-2_like_Rad60_SUMO-like"
3,2,1,0.3333333333333333,"Orthomyxoviridae, Paramyxoviridae, Poxviridae","ASF1_like_histone_chaperone, Armadillo/beta-catenin-like_repeat, Helicase_conserved_C-terminal_domain, Kinase_non-catalytic_C-lobe_domain, MATH_domain, MYL6*, Oxidative-stress-responsive_kinase_1_C-terminal_domain, Paired_amphipathic_helix_repeat, Suppressor_of_fused_protein_(SUFU), WD_domain,_G-beta_repeat"
4,1,1,0.5,"Papillomaviridae, Retroviridae","Autophagy_protein_Atg8_ubiquitin_like, Calcineurin-like_phosphoesterase_superfamily_domain, Creb_binding, DnaJ_C_terminal_domain, Golgi-dynamics_membrane-trafficking, HEAT-like_repeat, NLI_interacting_factor-like_phosphatase, SMYD3*, Sec7_domain, Sorting_Nexin_17_FERM_C-terminal_domain, Tetratricopeptide_repeat"
5,1,1,0.5,"Togaviridae, Parvoviridae","ATPase_family_associated_with_various_cellular_activities_(AAA), Agenet_domain, Clathrin_propeller_repeat, Nuclear_transport_factor_2_(NTF2)_domain, Variant_SH3_domain"
6,2,0,0.0,"Bornaviridae, Arteriviridae","ALIX_V-shaped_domain_binding_to_HIV, Kelch_motif, Knl1_RWD_C-terminal_domain, SH3_domain, VCL*"
7,1,0,0.0,Astroviridae,"Nucleoporin_autopeptidase, Transcription_initiation_factor_IIF,_alpha_subunit_(TFIIF-alpha)"
8,6,0,0.0,"Reoviridae, Filoviridae, Rhabdoviridae, Arenaviridae, Coronaviridae, Phenuiviridae","Adaptor_complexes_medium_subunit_family, Calcineurin-like_phosphoesterase, Dynein_light_chain_type_1, FKBP-type_peptidyl-prolyl_cis-trans_isomerase, L1_transposable_element_RBD-like_domain, Mad3/BUB1_homology_region_1, Phosphotyrosine_interaction_domain_(PTB/PID), Protein_kinase_domain, Protein_phosphatase_2C, Protein-L-isoaspartate(D-aspartate)_O-methyltransferase_(PCMT), STIP1*, TLN1*, TSG101_and_ALIX_binding_domain_of_CEP55, TTK*, WW_domain"
9,2,0,0.0,"Picobirnaviridae, Nairoviridae","Adaptin_C-terminal_domain, Cyclophilin_type_peptidyl-prolyl_cis-trans_isomerase/CLD, Focal_adhesion_targeting_region, PARP10*, Rhodanese-like_domain"
10,3,0,0.0,"Caliciviridae, Tobaniviridae, Hepeviridae","Ankyrin_repeats_(3_copies), Cytoskeletal-regulatory_complex_EF_hand, DNA_repair_protein_REV1_C-terminal_domain, EF-hand_domain_pair, PTB_domain_(IRS-1_type), REPS1*, SH2_domain, UEV_domain"
11,2,2,0.5,"Polyomaviridae, Anelloviridae, Kolmioviridae, Hantaviridae","GYF_domain, HIRAN_domain, KH_domain, Ligand-binding_domain_of_nuclear_hormone_receptor, PIK3R1*, Pex14_N-terminal_domain, RNA_recognition_motif, ZMYND11*"
12,1,0,0.0,Pneumoviridae,Ubiquitin-conjugating_enzyme
13,1,0,0.0,Nodaviridae,"EF-hand_domain, HORMA_domain, Signal_peptide_binding_domain"
14,1,0,0.0,Peribunyaviridae,"MSP_(Major_sperm_protein)_domain, VHS_domain"
